Model,Type,All,Adv,Disadv,UGF,Δ%,Nov,Cov,Short,Long,ΔGapA,ΔGapD 
MostPop,Org.,0.0111,0.0446,0.0091,0.0355,0.0,4.7364,0.63,24480.0,0.0,130.657,186.918 
MostPop,Fair,0.0116,0.0332,0.0103,0.0229,35.49,4.7251,1.32,24480.0,0.0,132.098,190.37 
BPR,Org.,0.0126,0.0476,0.0106,0.037,0.0,4.7295,0.75,24480.0,0.0,131.679,188.243 
BPR,Fair,0.013,0.0364,0.0116,0.0248,32.97,4.7322,1.32,24480.0,0.0,132.479,187.921 
PF,Org.,0.0094,0.0276,0.0083,0.0193,0.0,6.1434,71.03,17069.0,7411.0,43.311,37.744 
PF,Fair,0.0099,0.024,0.0091,0.0148,23.32,6.1466,70.85,17090.0,7390.0,46.03,36.706 
WMF,Org.,0.0078,0.0322,0.0063,0.0259,0.0,6.4316,89.34,16580.0,7900.0,7.349,9.012 
WMF,Fair,0.008,0.0259,0.0069,0.019,26.64,6.4183,88.46,16767.0,7713.0,8.227,8.689 
NeuMF,Org.,0.0144,0.0385,0.013,0.0254,0.0,4.7082,4.64,24480.0,0.0,147.65,206.184 
NeuMF,Fair,0.0154,0.0371,0.0141,0.023,9.45,4.7175,4.7,24480.0,0.0,141.217,204.193 
VAECF,Org.,0.0174,0.0516,0.0154,0.0362,0.0,5.5854,22.13,18991.0,5489.0,63.856,95.103 
VAECF,Fair,0.0175,0.04,0.0162,0.0239,33.98,5.5905,21.94,19013.0,5467.0,64.09,93.75 
