Model,Type,All,Act,Inact,UGF,Improv,Nov,Cov,Short,Long,GAPAct,GAPInact 
MostPop,Org.,0.0455,0.0979,0.0324,0.0655,0.0,2.9387,0.84,11300.0,0.0,150.59,138.544 
MostPop,Fair,0.0451,0.0954,0.0325,0.0629,3.97,2.9337,1.26,11300.0,0.0,154.431,139.24 
BPR,Org.,0.0444,0.075,0.0368,0.0382,0.0,2.9479,1.01,11300.0,0.0,205.501,190.707 
BPR,Fair,0.0444,0.0707,0.0378,0.0328,14.14,2.9503,1.09,11300.0,0.0,203.694,191.749 
PF,Org.,0.0592,0.0759,0.055,0.0209,0.0,4.0587,60.98,7927.0,3373.0,38.734,45.727 
PF,Fair,0.0676,0.07,0.067,0.0029,86.12,4.0733,61.56,7895.0,3405.0,46.074,43.609 
WMF,Org.,0.0338,0.0418,0.0319,0.0099,0.0,4.5012,46.17,6523.0,4777.0,5.376,-8.772 
WMF,Fair,0.0361,0.0371,0.0359,0.0012,87.88,4.5126,45.0,6510.75,4789.25,10.813,-12.542 
NeuMF,Org.,0.0562,0.0834,0.0495,0.0339,0.0,3.3409,14.63,10447.0,853.0,74.091,77.348 
NeuMF,Fair,0.0572,0.0642,0.0555,0.0087,74.34,3.3388,14.63,10452.0,848.0,75.748,77.251 
VAECF,Org.,0.0608,0.0856,0.0546,0.0309,0.0,3.8277,41.04,8026.0,3274.0,52.353,29.049 
VAECF,Fair,0.0665,0.0666,0.0665,0.0002,99.35,3.8238,41.38,8060.0,3240.0,54.784,29.212 
