Model,Type,All,Act,Inact,UGF,Improv,Nov,Cov,Short,Long,GAPAct,GAPInact 
MostPop,Org.,0.0297,0.0564,0.023,0.0334,0.0,3.3842,0.66,17970.0,0.0,26.813,146.477 
MostPop,Fair,0.0294,0.0544,0.0231,0.0313,6.29,3.3784,0.86,17970.0,0.0,20.784,144.465 
BPR,Org.,0.029,0.0455,0.0249,0.0206,0.0,3.3901,0.66,17970.0,0.0,3.963,102.065 
BPR,Fair,0.0284,0.0433,0.0246,0.0187,9.22,3.3767,1.13,17970.0,0.0,9.943,101.255 
PF,Org.,0.0372,0.0485,0.0344,0.0141,0.0,5.0905,66.82,12480.0,5490.0,-39.191,-19.012 
PF,Fair,0.0361,0.0364,0.036,0.0004,97.16,5.0726,66.62,12538.0,5432.0,-24.996,-22.189 
WMF,Org.,0.0319,0.0453,0.0285,0.0168,0.0,5.536,78.04,8000.0,9970.0,-52.414,-43.367 
WMF,Fair,0.0334,0.0394,0.0319,0.0075,55.36,5.5355,75.25,7996.0,9974.0,-45.46,-46.353 
NeuMF,Org.,0.0415,0.0682,0.0348,0.0334,0.0,3.7975,9.16,17863.0,107.0,4.283,97.967 
NeuMF,Fair,0.0406,0.0575,0.0364,0.021,37.13,3.7919,9.42,17857.0,113.0,13.308,96.281 
VAECF,Org.,0.056,0.0808,0.0498,0.0309,0.0,4.604,42.93,13890.0,4080.0,-14.901,21.744 
VAECF,Fair,0.0536,0.0544,0.0534,0.001,96.76,4.578,43.13,13935.3333,4034.6667,4.642,20.596 
