Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
LastFM,VAECF,005%,020%,N,-,-,0.05602,0.06508,0.05555,0.05103,0.05667,0.05073,0.07014,0.07165,0.07006,4.60395,4.41567,4.6139,42.93,21.1,42.6,-6.103,10.94,13890.0,4080.0,17970==17970.0
LastFM,VAECF,005%,020%,C,0.0000000,-,0.07246,0.00942,0.0758,0.06403,0.01111,0.06682,0.08852,0.01388,0.09246,4.58701,4.22445,4.60617,43.26,20.5,42.8,38.893,10.24,13951.0,4019.0000000000005,17970==17970.0
LastFM,VAECF,005%,020%,C,265.1666667,-,0.07115,0.01098,0.07433,0.06281,0.01222,0.06549,0.0867,0.01526,0.09047,4.58912,4.24784,4.60716,43.2,20.57,42.8,35.676,10.135,13940.0,4030.0,17970==17970.0
LastFM,VAECF,005%,020%,C,530.3333333,-,0.07002,0.01243,0.07306,0.06191,0.01444,0.06442,0.08543,0.01905,0.08894,4.59215,4.254,4.61003,43.26,20.7,42.87,33.853,9.734,13922.0,4048.0,17970==17970.0
LastFM,VAECF,005%,020%,C,795.5000000,-,0.0687,0.01326,0.07163,0.06085,0.01568,0.06324,0.08384,0.0209,0.08716,4.59394,4.26179,4.6115,43.26,20.84,42.87,30.595,9.573,13907.49999999999,4062.50000000001,17970==17970.0
LastFM,VAECF,005%,020%,C,1060.6666667,-,0.06784,0.01781,0.07049,0.05996,0.01889,0.06213,0.08278,0.02712,0.08572,4.59408,4.28574,4.61037,43.26,21.1,42.93,26.18,9.639,13905.0,4065.0,17970==17970.0
LastFM,VAECF,005%,020%,C,1325.8333333,-,0.067,0.02076,0.06945,0.0594,0.02222,0.06136,0.08185,0.03039,0.08457,4.59548,4.30243,4.61096,43.33,21.43,42.93,20.144,9.573,13902.0,4068.0,17970==17970.0
LastFM,VAECF,005%,020%,C,1591.0000000,-,0.06582,0.02656,0.06789,0.05856,0.03,0.06007,0.08077,0.03886,0.08298,4.59569,4.30686,4.61096,43.13,21.17,42.8,17.484,9.506,13907.0,4063.0,17970==17970.0
LastFM,VAECF,005%,020%,C,1856.1666667,-,0.06485,0.02899,0.06674,0.05779,0.03333,0.05908,0.07954,0.04256,0.0815,4.59667,4.32053,4.61127,43.2,21.1,42.8,15.328,9.574,13908.0,4062.0,17970==17970.0
LastFM,VAECF,005%,020%,C,2121.3333333,-,0.06329,0.0373,0.06466,0.0565,0.03889,0.05743,0.07788,0.05036,0.07933,4.59804,4.33471,4.61195,43.2,20.97,42.8,12.458,9.593,13909.000000002861,4061.000000000033,17970==17970.000000002896
LastFM,VAECF,005%,020%,C,2386.5000000,-,0.06224,0.04426,0.06319,0.05549,0.04222,0.05619,0.07633,0.05363,0.07753,4.59962,4.35132,4.61274,43.26,20.77,42.93,7.292,9.586,13906.0,4064.0,17970==17970.0
LastFM,VAECF,005%,020%,C,2651.6666667,-,0.06079,0.05397,0.06115,0.05438,0.04778,0.05473,0.0749,0.06191,0.07558,4.60267,4.38642,4.61409,43.2,20.9,42.87,0.177,9.39,13906.0,4064.0,17970==17970.0
LastFM,VAECF,005%,020%,C,2916.8333333,-,0.05855,0.05779,0.05859,0.05276,0.05222,0.05279,0.07234,0.06678,0.07264,4.60335,4.40668,4.61374,43.07,21.04,42.73,-5.01,9.642,13898.0,4072.0,17970==17970.0
LastFM,VAECF,005%,020%,C,3182.0000000,-,0.05602,0.06508,0.05555,0.05103,0.05667,0.05073,0.07014,0.07165,0.07006,4.60395,4.41567,4.6139,42.93,21.1,42.6,-6.103,10.94,13890.0,4080.0,17970==17970.0
